,Dependent-Company Status,year of founding,Employee Count,Number of of repeat investors,Subscription based business,Experience in selling and building products,Client Reputation,Number of Direct competitors,Percent_skill_Marketing,Percent_skill_Product Management,Percent_skill_Finance
2,1,2011.0,14.0,0.0,1,3,0,0.0,0.0,9.401709402,0.0
3,1,2009.0,45.0,0.0,1,0,0,2.0,0.0,0.0,0.0
4,1,2010.0,39.0,0.0,0,3,0,0.0,0.0,0.0,0.0
5,1,2010.0,14.0,2.0,0,0,3,0.0,15.625,3.125,0.0
6,1,2011.0,7.0,4.0,1,0,0,0.0,5.555555556,0.0,0.0
7,1,2010.0,29.0,0.0,0,2,0,0.0,0.0,0.0,0.0
8,1,2011.0,16.0,0.0,0,3,0,0.0,5.718954248,2.777777778,0.0
9,1,2013.0,3.0,0.0,0,3,0,0.0,19.79166667,0.0,0.0
10,1,2011.0,34.0,0.0,0,3,3,4.0,0.0,0.0,0.0
11,1,2010.0,31.0,1.0,0,3,0,0.0,0.0,9.090909091,0.0
12,1,2010.0,47.0,1.0,0,3,0,0.0,0.0,0.0,0.0
13,1,2008.0,22.0,0.0,1,2,0,0.0,16.66666667,4.166666667,0.0
14,1,2010.0,13.0,0.0,0,2,0,0.0,60.0,0.0,0.0
15,1,2008.0,129.0,0.0,0,3,3,0.0,0.0,0.0,5.555555556
16,1,2010.0,23.0,2.0,0,3,0,0.0,0.0,0.0,0.0
17,1,2009.0,52.0,2.0,0,3,3,0.0,0.0,0.0,0.0
18,1,2002.0,46.0,0.0,0,2,3,0.0,0.0,0.0,0.0
20,1,2010.0,27.0,0.0,0,3,2,0.0,11.11111111,5.555555556,0.0
22,1,2012.0,32.0,2.0,0,0,3,0.0,1.960784314,4.044117647,0.0
24,1,2012.0,3.0,0.0,1,0,3,5.0,11.11111111,2.777777778,0.0
26,1,2009.0,5.0,0.0,0,0,3,0.0,0.0,0.0,0.0
30,1,2012.0,7.0,0.0,1,0,3,0.0,0.0,0.0,0.0
31,1,2008.0,39.0,3.0,1,3,3,0.0,0.0,0.0,0.0
32,1,2010.0,115.0,3.0,1,2,3,0.0,50.0,0.0,0.0
35,1,2012.0,14.0,0.0,1,3,3,0.0,11.11111111,0.0,11.11111111
39,1,2010.0,7.0,0.0,1,2,0,3.0,39.37791783,1.111111111,4.444444444
40,1,2012.0,6.0,0.0,1,3,0,5.0,61.11111111,2.777777778,0.0
43,1,2008.0,12.0,1.0,1,2,0,0.0,6.25,6.25,0.0
46,1,2011.0,35.0,0.0,1,2,3,0.0,0.0,2.941176471,0.0
47,1,2003.0,267.0,0.0,0,2,2,0.0,0.0,0.0,0.0
48,1,2000.0,594.0,0.0,1,3,3,0.0,5.555555556,0.0,0.0
50,1,2011.0,23.0,2.0,1,2,3,0.0,29.41176471,5.882352941,0.0
51,1,2009.0,50.0,3.0,0,2,3,0.0,22.22222222,11.11111111,0.0
54,1,2012.0,38.0,2.0,1,0,3,0.0,0.0,0.0,0.0
57,1,2012.0,24.0,0.0,0,2,2,0.0,44.44444444,5.555555556,0.0
60,1,2009.0,22.0,2.0,1,2,0,0.0,0.0,0.0,0.0
62,1,2012.0,17.0,0.0,0,2,2,0.0,52.94117647,0.0,5.882352941
66,1,2009.0,43.0,0.0,1,2,3,0.0,18.40277778,8.680555556,0.0
70,1,2009.0,6.0,0.0,1,2,0,2.0,0.0,0.0,0.0
74,1,2013.0,9.0,0.0,0,2,0,4.0,0.0,11.11111111,0.0
77,1,2012.0,11.0,0.0,0,0,0,4.0,7.142857143,7.142857143,7.142857143
80,1,2010.0,18.0,0.0,1,2,0,33.0,0.0,0.0,0.0
86,1,2010.0,6.0,0.0,1,3,0,2.0,0.0,6.623931624,0.0
87,1,2009.0,20.0,0.0,1,2,0,0.0,31.57894737,5.263157895,0.0
90,1,2010.0,6.0,0.0,0,2,0,6.0,14.28571429,0.0,0.0
92,1,2010.0,25.0,0.0,0,2,0,0.0,0.0,15.38461538,0.0
94,1,2002.0,31.0,0.0,0,3,0,0.0,0.0,0.0,0.0
104,1,2009.0,13.0,0.0,1,0,0,15.0,7.692307692,0.0,0.0
106,1,2008.0,12.0,1.0,0,3,0,0.0,12.58169935,9.444444444,0.0
107,1,2011.0,12.0,2.0,0,3,0,0.0,10.0,10.0,0.0
109,1,2010.0,4.0,0.0,0,3,0,0.0,38.88888889,0.0,0.0
110,1,2010.0,8.0,0.0,0,3,3,5.0,0.0,0.0,0.0
111,1,2012.0,17.0,0.0,0,3,0,0.0,3.921568627,4.044117647,0.0
113,1,2012.0,21.0,0.0,0,3,0,0.0,0.0,0.0,0.0
114,1,2009.0,8.0,0.0,0,0,0,0.0,0.0,6.25,0.0
116,1,2011.0,12.0,0.0,1,3,0,0.0,36.36363636,9.090909091,0.0
117,1,2009.0,14.0,0.0,0,3,3,0.0,0.0,0.0,0.0
118,1,2005.0,32.0,3.0,0,3,3,0.0,0.0,0.0,0.0
119,1,2008.0,22.0,0.0,0,3,0,5.0,3.846153846,0.0,0.0
120,1,2012.0,16.0,0.0,0,0,0,0.0,69.23076923,0.0,0.0
121,1,2010.0,12.0,0.0,0,3,3,0.0,27.77777778,0.0,0.0
122,1,2011.0,5.0,0.0,0,3,0,0.0,8.333333333,8.333333333,2.777777778
123,1,2010.0,35.0,1.0,0,3,0,0.0,0.0,5.555555556,0.0
124,1,2011.0,37.0,1.0,0,3,0,0.0,1.960784314,1.960784314,0.0
125,1,2011.0,9.0,0.0,0,3,0,0.0,0.0,0.0,2.777777778
126,1,2006.0,138.0,2.0,0,3,3,8.0,0.0,0.0,0.0
127,1,2011.0,11.0,0.0,0,2,0,0.0,8.333333333,0.0,0.0
129,1,1999.0,178.0,0.0,0,0,0,0.0,0.0,0.0,0.0
130,1,2008.0,73.0,3.0,0,3,3,2.0,15.0,5.0,0.0
131,1,2006.0,118.0,1.0,0,3,2,2.0,8.823529412,0.0,0.0
132,1,2012.0,10.0,0.0,1,2,0,0.0,0.0,12.5,0.0
133,1,2010.0,22.0,0.0,0,3,0,4.0,5.555555556,5.555555556,0.0
134,1,2012.0,4.0,0.0,1,3,0,0.0,76.47058824,0.0,0.0
135,0,2004.0,12.0,0.0,0,3,2,0.0,0.0,0.0,0.0
141,0,2008.0,35.0,0.0,0,0,0,0.0,6.666666667,6.666666667,0.0
149,0,2006.0,0.0,0.0,1,2,2,0.0,0.0,0.0,0.0
154,1,2012.0,48.0,0.0,1,2,3,0.0,6.25,3.125,0.0
156,1,2007.0,55.0,6.0,0,0,2,0.0,0.0,0.0,0.0
161,1,2013.0,5.0,4.0,0,0,3,0.0,6.25,1.388888889,0.0
164,1,2013.0,4.0,0.0,1,0,3,0.0,5.555555556,4.882154882,0.0
166,1,2012.0,36.0,1.0,0,3,3,0.0,2.777777778,2.777777778,0.0
168,1,2009.0,38.0,3.0,0,2,3,0.0,5.555555556,2.777777778,2.777777778
170,1,2010.0,6.0,0.0,0,0,3,0.0,2.941176471,0.0,0.0
172,1,2012.0,24.0,1.0,1,2,3,0.0,0.0,0.0,0.0
174,1,2010.0,6.0,0.0,0,3,3,0.0,0.0,0.0,0.0
178,1,2011.0,41.0,2.0,1,0,0,10.0,0.0,0.0,0.0
181,1,2010.0,7.0,0.0,1,3,0,3.0,9.803921569,1.960784314,0.0
188,1,2011.0,15.0,0.0,1,0,0,5.0,0.0,0.0,0.0
189,1,2011.0,41.0,2.0,1,2,0,5.0,0.0,0.0,0.0
191,1,2011.0,15.0,1.0,1,3,0,5.0,27.77777778,5.555555556,0.0
198,1,2011.0,8.0,1.0,1,2,0,3.0,0.0,16.66666667,0.0
199,1,2009.0,89.0,3.0,1,3,0,3.0,0.0,0.0,0.0
200,1,2010.0,209.0,6.0,1,0,0,2.0,0.0,0.0,0.0
201,1,2012.0,18.0,0.0,1,3,0,5.0,0.0,2.777777778,0.0
209,1,2007.0,53.0,0.0,1,3,0,3.0,2.777777778,2.777777778,0.0
210,1,2011.0,31.0,2.0,1,3,0,3.0,5.555555556,5.555555556,0.0
211,1,2000.0,58.0,0.0,1,2,0,6.0,0.0,0.0,0.0
212,1,2009.0,23.0,0.0,1,3,0,1.0,33.33333333,0.0,4.761904762
218,1,2000.0,172.0,3.0,1,2,0,2.0,12.5,0.0,0.0
225,1,2010.0,10.0,1.0,1,2,0,2.0,0.0,0.0,0.0
230,1,2012.0,13.0,0.0,1,0,3,2.0,33.33333333,0.0,0.0
231,1,2011.0,13.0,1.0,1,0,3,0.0,7.407407407,15.74074074,0.0
233,1,2010.0,36.0,2.0,1,3,3,4.0,8.148148148,4.074074074,0.0
234,1,2008.0,52.0,2.0,1,3,3,1.0,8.333333333,2.777777778,0.0
237,1,2012.0,12.0,0.0,1,3,2,0.0,30.0,10.0,0.0
238,1,2012.0,5.0,0.0,1,3,2,0.0,0.0,0.0,41.17647059
239,1,2011.0,95.0,4.0,1,2,3,0.0,56.4021164,4.232804233,0.0
242,1,2009.0,31.0,2.0,1,2,0,3.0,5.882352941,2.941176471,0.0
243,1,2010.0,297.0,1.0,0,2,3,0.0,5.882352941,5.882352941,0.0
246,1,2011.0,19.0,0.0,1,2,0,0.0,0.0,0.0,0.0
247,1,2010.0,14.0,0.0,1,2,0,0.0,7.692307692,0.0,0.0
250,1,2012.0,11.0,0.0,1,0,0,0.0,0.0,0.0,0.0
251,1,2011.0,10.0,2.0,1,3,0,4.0,0.0,5.555555556,5.555555556
253,1,2009.0,20.0,0.0,1,2,0,0.0,7.142857143,2.941176471,0.0
256,1,2010.0,7.0,0.0,1,2,0,21.0,22.22222222,0.0,0.0
257,1,2011.0,7.0,0.0,1,2,0,11.0,0.0,0.0,12.5
258,1,2013.0,5.0,0.0,1,2,0,13.0,30.0,0.0,0.0
299,1,2010.0,3.0,0.0,1,3,0,0.0,0.0,6.25,0.0
300,1,2011.0,4.0,1.0,1,3,0,0.0,11.9047619,2.777777778,3.571428571
307,1,2010.0,6.0,1.0,1,3,0,0.0,72.22222222,0.0,0.0
309,1,2007.0,8.0,3.0,1,0,0,2.0,11.76470588,0.0,0.0
310,1,2009.0,39.0,1.0,1,3,0,4.0,3.947368421,1.315789474,0.0
311,1,2011.0,6.0,0.0,1,0,0,0.0,16.66666667,22.22222222,0.0
312,1,2007.0,3.0,0.0,1,3,0,3.0,33.33333333,5.555555556,0.0
313,1,2005.0,4.0,1.0,1,0,0,0.0,11.21212121,3.333333333,0.0
314,1,2005.0,4.0,0.0,1,3,0,2.0,11.76470588,5.882352941,0.0
315,1,2010.0,13.0,2.0,0,2,0,0.0,0.0,7.142857143,0.0
325,1,2005.0,67.0,2.0,0,2,0,0.0,9.090909091,9.090909091,0.0
328,1,2009.0,23.0,1.0,1,3,0,0.0,8.333333333,2.777777778,0.0
329,1,2009.0,0.0,0.0,1,3,0,8.0,5.882352941,0.0,0.0
330,1,2008.0,16.0,0.0,1,3,0,0.0,0.0,0.0,0.0
337,0,2006.0,1.0,0.0,1,0,0,0.0,0.0,3.846153846,0.0
343,1,2012.0,10.0,0.0,1,2,0,0.0,0.0,12.5,0.0
347,1,2010.0,12.0,0.0,0,2,0,4.0,0.0,0.0,3.333333333
355,1,2012.0,4.0,0.0,1,3,0,4.0,0.0,0.0,0.0
357,1,2012.0,11.0,0.0,0,0,0,4.0,7.142857143,7.142857143,7.142857143
360,1,2011.0,0.0,0.0,1,3,0,16.0,0.0,0.0,0.0
361,1,2011.0,4.0,0.0,0,2,0,0.0,2.777777778,5.555555556,0.0
370,0,2012.0,14.0,0.0,1,2,2,0.0,0.0,0.0,0.0
372,1,2008.0,2.0,0.0,0,2,0,0.0,19.78021978,5.128205128,0.0
373,0,2005.0,89.0,6.0,1,2,0,3.0,0.0,0.0,11.11111111
382,0,2010.0,28.0,2.0,0,2,0,0.0,36.44957983,0.0,0.0
383,0,2010.0,71.0,2.0,0,2,3,0.0,5.882352941,1.960784314,0.0
384,0,2011.0,46.0,2.0,0,2,2,0.0,24.07407407,1.851851852,0.0
